periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
May 04,85.500071,,,85.174245,,0.038131,136.186769,57.293668,78.507836,80.134175,,,,,,,,
Jun 04,86.020181,,,85.436674,,0.0383,136.967172,57.691004,79.517635,80.69567,,,,,,,,
Jul 04,85.588381,,,85.737916,,0.037335,134.681098,58.206161,78.213817,80.865214,,,,,,,,
Ago 04,85.574782,,,87.098194,,0.036718,134.32823,58.800479,76.725705,81.049499,,,,,,,,
Sep 04,85.671137,,,88.1123,,0.036559,137.287835,58.945915,78.415098,80.410539,,,,,,,,
Oct 04,85.996236,,,88.453902,,0.036891,139.099776,59.301885,78.764793,80.404065,,,,,,,,
Nov 04,86.03936,,,83.833235,,0.037644,136.96931,59.228435,79.711952,80.513238,,,,,,,,
Dic 04,86.283805,,,85.01106,,0.036963,132.501666,60.163566,79.621658,81.632152,,,,,,,,
Ene 05,86.500764,,,85.349727,,0.02582,136.07567,61.198864,82.007865,81.012505,,,,,,,,
Feb 05,86.874541,,,83.877222,,0.025673,136.093737,62.136524,80.040594,81.913172,,,,,,,,
Mar 05,86.653844,,,87.897155,,0.020455,134.84114,61.130769,81.384456,81.099381,,,,,,,,
Abr 05,86.946539,,,87.431751,,0.018865,137.469522,61.640703,80.384914,81.495113,,,,,,,,
May 05,87.733762,,,87.819436,,0.021318,140.075288,62.042547,81.010191,81.627615,,,,,,,,
Jun 05,86.656705,,,86.158579,,0.019161,139.285883,63.2093,81.371521,80.362612,,,,,,,,
Jul 05,85.377722,,,85.519871,,0.016034,128.432719,63.177993,79.873154,80.757652,,,,,,,,
Ago 05,87.600047,,,88.870344,,0.016586,140.081533,62.216256,80.191977,81.95076,,,,,,,,
Sep 05,88.292141,,,90.652757,,0.017989,137.291734,62.568451,81.031617,83.428383,,,,,,,,
Oct 05,88.537759,,,91.225343,,0.019361,134.752669,62.999032,81.023797,84.117494,,,,,,,,
Nov 05,89.842659,,,87.756077,,0.021804,139.074061,63.533921,83.653662,84.69745,,,,,,,,
Dic 05,90.942963,,,89.575616,,0.024439,140.50743,62.368052,84.57904,85.622363,,,,,,,,
Ene 06,91.186202,,,89.709551,,0.051082,139.364029,67.718875,84.291766,86.282578,,,,,,,,
Feb 06,90.597306,,,87.136236,,0.045022,137.367505,69.599862,84.443691,85.49644,,,,,,,,
Mar 06,91.445655,,,92.879995,,0.04904,138.545836,69.342295,86.640473,85.781842,,,,,,,,
Abr 06,91.562869,,,92.075541,,0.050064,137.565355,70.200492,87.423446,85.896532,,,,,,,,
May 06,92.472039,,,92.757501,,0.051317,136.957672,71.167316,88.052447,87.124728,,,,,,,,
Jun 06,92.547547,,,92.168799,,0.054384,134.120826,72.113333,88.377496,87.592362,,,,,,,,
Jul 06,92.51876,,,92.749211,,0.058648,133.526226,72.419774,88.80333,87.628166,,,,,,,,
Ago 06,92.955018,,,94.151343,,0.058746,136.197223,72.97619,91.903869,86.559478,,,,,,,,
Sep 06,92.637929,,,94.996576,,0.05749,136.68486,73.019628,91.290433,86.425669,,,,,,,,
Oct 06,92.650103,,,95.92812,,0.056871,135.838972,73.101381,90.597451,86.644313,,,,,,,,
Nov 06,92.835511,,,90.975768,,0.055033,136.042355,73.78006,90.438115,87.188449,,,,,,,,
Dic 06,91.921125,,,90.190761,,0.050934,128.747493,73.908888,90.395027,86.496303,,,,,,,,
Ene 07,92.02132,,,90.269203,,0.00624,135.878336,75.20617,89.344705,86.219491,,,,,,,,
Feb 07,92.716996,,,88.868623,,0.012961,136.487741,74.376737,90.921571,86.219995,,,,,,,,
Mar 07,93.688434,,,95.143874,,0.016874,137.255448,75.606469,91.19692,87.733279,,,,,,,,
Abr 07,93.434976,,,93.976037,,0.017842,137.355158,74.718622,90.943241,87.513858,,,,,,,,
May 07,93.453132,,,93.732994,,0.016345,135.050789,76.00876,90.508665,87.989926,,,,,,,,
Jun 07,93.429184,,,93.113842,,0.015314,137.908667,75.716951,88.731529,87.818252,,,,,,,,
Jul 07,93.408443,,,93.966585,,0.014997,136.883137,76.368471,90.560332,87.420987,,,,,,,,
Ago 07,92.922534,,,93.945024,,0.012799,125.512754,76.822219,93.512086,87.555832,,,,,,,,
Sep 07,93.483301,,,95.695703,,0.012173,135.349127,77.844932,95.095372,86.353288,,,,,,,,
Oct 07,93.150485,,,96.837673,,0.011894,132.52468,78.419347,96.085353,86.143535,,,,,,,,
Nov 07,92.514844,,,90.90377,,0.010759,130.178215,78.590415,97.030577,85.19613,,,,,,,,
Dic 07,93.098518,,,91.255599,,0.010842,131.192965,79.311744,98.056444,84.966192,,,,,,,,
Ene 08,92.899665,,,90.991369,,0.00799,129.979285,79.147409,97.133511,86.147461,,,,,,,,
Feb 08,94.866059,,,90.693928,,0.014217,129.803912,82.257716,99.782368,87.067123,,,,,,,,
Mar 08,92.727271,,,94.066654,,0.005349,128.568728,78.763779,97.085748,85.873672,,,,,,,,
Abr 08,92.758988,,,93.358953,,0.002304,125.568534,79.31032,97.012215,86.540443,,,,,,,,
May 08,92.872524,,,93.000103,,0.000254,126.74602,79.623359,98.622073,86.054824,,,,,,,,
Jun 08,93.91,,,93.62976,,0.001143,128.180931,78.754039,100.103387,86.761627,,,,,,,,
Jul 08,92.184672,,,93.023491,,-0.000476,127.983818,78.129963,99.235538,84.781137,,,,,,,,
Ago 08,92.176247,,,93.167081,,-0.001466,127.367813,79.419436,95.110759,85.202048,,,,,,,,
Sep 08,91.421152,,,93.204977,,-0.00427,125.364861,77.764043,93.667003,85.387166,,,,,,,,
Oct 08,91.529308,,,95.369696,,-0.005392,128.68845,78.062755,95.524004,84.538486,,,,,,,,
Nov 08,89.993874,,,88.788725,,-0.006978,128.686223,78.204626,93.087548,82.532406,,,,,,,,
Dic 08,88.985153,,,87.268521,,-0.009976,127.315597,76.822841,92.608624,81.336953,,,,,,,,
Ene 09,84.324876,,,82.532014,,-0.092953,125.115248,76.664586,92.603071,74.927153,,,,,,,,
Feb 09,83.962384,,,80.087249,,-0.104934,124.469688,76.996575,89.494537,74.870328,,,,,,,,
Mar 09,83.238376,,,84.338601,,-0.104411,123.833752,77.58266,89.854557,73.974366,,,,,,,,
Abr 09,83.266663,,,83.835357,,-0.103802,124.431339,77.986101,89.07008,74.367042,,,,,,,,
May 09,83.048099,,,83.115455,,-0.104298,123.647228,77.608073,91.564899,73.140542,,,,,,,,
